City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,Walvis Bay,-22.9575,14.5053,60.1,88,10,3.44,NA,2021-11-20 19:19:49
116,Yenagoa,4.9247,6.2642,77.83,90,92,5.91,NG,2021-11-20 19:19:49
117,Yulara,-25.2406,130.9889,64.24,77,40,13.8,AU,2021-11-20 19:19:49
118,Mairana,-18.1167,-63.9333,70.12,50,96,4.12,BO,2021-11-20 19:19:49
119,Coahuayana,18.7333,-103.6833,94.48,32,16,5.41,MX,2021-11-20 19:19:50
120,Axim,4.8699,-2.2405,80.82,84,14,7.14,GH,2021-11-20 19:15:01
121,Mar Del Plata,-38.0023,-57.5575,86.02,79,0,17.0,AR,2021-11-20 19:19:50
122,Haapiti,-17.5667,-149.8667,85.73,65,18,16.06,PF,2021-11-20 19:19:50
123,Lubango,-14.9172,13.4925,64.38,81,100,3.58,AO,2021-11-20 19:19:51
124,Puerto Escondido,15.85,-97.0667,85.03,65,20,9.22,MX,2021-11-20 19:19:51
125,Dwarka,22.2394,68.9678,79.25,73,11,11.63,IN,2021-11-20 19:19:52
126,Canterbury,51.279,1.0799,50.41,85,100,1.01,GB,2021-11-20 19:19:52
127,Sorso,40.8,8.5772,55.58,87,0,3.02,IT,2021-11-20 19:19:52
128,Nome,64.5011,-165.4064,-0.33,60,1,4.61,US,2021-11-20 19:19:53
129,Hermanus,-34.4187,19.2345,67.89,73,100,19.46,ZA,2021-11-20 19:17:51
130,Kloulklubed,7.0419,134.2556,83.93,77,97,11.59,PW,2021-11-20 19:19:53
131,Evensk,61.95,159.2333,10.54,78,21,12.17,RU,2021-11-20 19:19:53
132,Moron,-34.6534,-58.6198,92.01,46,4,3.0,AR,2021-11-20 19:19:54
133,Atambua,-9.1061,124.8925,76.12,86,79,0.67,ID,2021-11-20 19:19:54
134,Oranjemund,-28.55,16.4333,60.31,93,8,10.29,NA,2021-11-20 19:19:54
135,Pevek,69.7008,170.3133,-10.95,98,59,3.06,RU,2021-11-20 19:19:55
136,Flin Flon,54.7682,-101.865,19.24,73,90,5.75,CA,2021-11-20 19:16:31
137,Broome,42.2506,-75.833,44.02,63,1,3.0,US,2021-11-20 19:19:56
138,Bosaso,11.2842,49.1816,76.95,70,45,3.69,SO,2021-11-20 19:19:56
139,San Angelo,31.4638,-100.437,77.95,38,1,4.0,US,2021-11-20 19:20:56
