City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Nelson Bay,AU,-32.7167,152.15,64.99,95,100,1.99,light rain
137,Kahului,US,20.8947,-156.47,88.86,74,11,13.0,few clouds
138,Yarim,YE,14.298,44.3779,52.12,65,7,0.36,clear sky
139,Bumba,CD,2.1833,22.4667,71.02,96,93,1.32,overcast clouds
140,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,79.38,78,37,4.16,scattered clouds
141,Tura,IN,25.5198,90.2201,61.54,75,13,2.3,few clouds
142,Anadyr,RU,64.75,177.4833,-16.01,82,58,8.12,broken clouds
143,Gondar,ET,12.6,37.4667,55.74,61,7,4.83,clear sky
144,Saskylakh,RU,71.9167,114.0833,-26.5,99,78,5.26,broken clouds
145,Panguna,PG,-6.3164,155.4848,76.48,72,97,3.04,overcast clouds
146,Nanlong,CN,31.3533,106.0631,52.56,57,100,9.95,overcast clouds
147,Ponta Do Sol,PT,32.6667,-17.1,64.71,54,100,5.3,overcast clouds
148,Tuatapere,NZ,-46.1333,167.6833,58.14,76,100,3.76,light rain
149,Pacific Grove,US,36.6177,-121.9166,72.61,67,1,5.01,clear sky
150,Katsuura,JP,35.1333,140.3,57.18,68,29,7.76,scattered clouds
151,Qaanaaq,GL,77.484,-69.3632,-8.05,72,0,6.78,clear sky
152,Dzhebariki-Khaya,RU,62.2167,135.8,-29.04,100,96,1.36,overcast clouds
153,Upernavik,GL,72.7868,-56.1549,7.07,75,96,8.7,overcast clouds
154,Kirovsk,UA,48.6375,38.6428,39.47,66,75,18.45,broken clouds
155,Maragogi,BR,-9.0122,-35.2225,78.82,79,18,12.28,few clouds
156,Northam,GB,51.0333,-4.2167,51.26,91,96,18.14,light rain
157,Plaridel,PH,14.8872,120.8572,80.85,80,100,5.03,moderate rain
158,Tiksi,RU,71.6872,128.8694,-8.52,91,99,6.53,overcast clouds
159,Dutlwe,BW,-23.9833,23.9,70.92,65,92,21.99,light rain
160,Hermanus,ZA,-34.4187,19.2345,61.81,76,100,19.26,overcast clouds
161,Douglas,US,41.3,-96.167,55.58,36,1,6.91,clear sky
162,Kitimat,CA,54.0524,-128.6534,41.92,29,100,1.01,light rain
163,Msanga,TZ,-6.05,36.0333,70.27,58,90,8.34,overcast clouds
164,Aquiraz,BR,-3.9014,-38.3911,85.21,64,94,13.27,overcast clouds
165,Collierville,US,35.042,-89.6645,58.78,48,1,0.0,clear sky
166,Castro,BR,-24.7911,-50.0119,59.52,90,26,7.25,scattered clouds
167,Nome,US,64.5011,-165.4064,8.67,57,1,10.36,clear sky
168,Thompson,CA,55.7435,-97.8558,15.21,81,89,10.29,overcast clouds
169,Lebu,CL,-37.6167,-73.65,54.86,87,8,16.73,clear sky
170,Portoferraio,IT,42.8115,10.3146,54.09,71,3,6.26,clear sky
171,Yakima,US,46.4665,-120.6678,47.91,77,1,5.75,clear sky
172,Hovd,MN,48.0056,91.6419,6.44,37,5,1.39,clear sky
173,Amboise,FR,47.4125,0.9827,39.74,96,90,3.44,overcast clouds
174,Hithadhoo,MV,-0.6,73.0833,79.45,84,100,15.55,overcast clouds
175,Teofilo Otoni,BR,-17.8575,-41.5053,70.34,98,100,2.21,overcast clouds
176,Leh,IN,34.1667,77.5833,15.48,59,1,2.53,clear sky
177,Beringovskiy,RU,63.05,179.3167,-1.05,93,43,8.25,scattered clouds
178,Hamilton,US,39.1834,-84.5333,50.94,57,90,0.0,overcast clouds
179,Asilah,MA,35.465,-6.0348,57.16,82,58,8.77,broken clouds
180,Sorland,NO,67.667,12.6934,36.52,63,100,30.87,overcast clouds
