City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
422,Santa Fe,AR,82.98,light rain,-31.6333,-60.7,Conquistador Hotel
428,Santa Rosa,PH,80.85,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
429,Bahia Blanca,AR,82.96,broken clouds,-38.7196,-62.2724,Hotel Argos
431,Dwarka,IN,78.33,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
432,Omboue,GA,75.52,moderate rain,-1.5746,9.2618,Hotel Olako
433,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,Casa Tia Villa
451,Thinadhoo,MV,80.78,overcast clouds,0.5333,72.9333,
455,Bambanglipuro,ID,77.5,broken clouds,-7.95,110.2833,Puri Brata
458,Gisborne,NZ,76.95,scattered clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
462,Chacabuco,AR,83.84,clear sky,-34.6417,-60.4739,Club de Pesca Caza y Balneario
464,Sehithwa,BW,77.05,light rain,-20.4667,22.7167,MONLEK GUEST HOUSE
469,Palora,EC,75.18,light rain,-1.7,-77.9333,Rancho grande
470,Mount Isa,AU,89.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
473,Dingle,PH,78.64,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
478,Kupang,ID,82.94,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
482,Poya,NC,79.36,overcast clouds,-21.35,165.15,
485,Atar,MR,83.82,overcast clouds,20.5169,-13.0499,Oumou Elghoura
488,Tari,NG,79.88,few clouds,12.4086,4.4914,
492,Grand-Santi,GF,77.85,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
494,Pundaguitan,PH,83.21,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
497,Tautira,PF,86.02,few clouds,-17.7333,-149.15,Pension Oaoa
501,Catamarca,AR,82.04,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
504,Igboho,NG,77.58,clear sky,8.8333,3.75,More Hotet LTD
508,Hirara,JP,76.98,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
514,Kirakira,SB,84.65,few clouds,-10.4544,161.9205,SanBiz Lodge
520,Samarai,PG,82.24,scattered clouds,-10.6167,150.6667,Nuli Sapi
522,Srandakan,ID,77.56,broken clouds,-7.9386,110.2506,Puri Brata
523,Salto Del Guaira,PY,78.1,scattered clouds,-24.0625,-54.3069,7 Saltos Resort
524,Kerewan,GM,78.91,clear sky,13.4898,-16.0888,ADWAC Residents
526,Bourail,NC,77.61,overcast clouds,-21.5667,165.4833,Motel Allamanda
530,Canto Do Buriti,BR,84.54,broken clouds,-8.11,-42.9444,Novo Hotel
531,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
535,Kununurra,AU,85.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
536,Cabrobo,BR,89.82,broken clouds,-8.5142,-39.31,Hotel Limarques
538,Ixtapa,MX,83.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
541,Loiza,PR,82.38,scattered clouds,18.4313,-65.8802,Malibu Beachfront
548,Basco,PH,80.42,few clouds,20.4487,121.9702,Nathaniel's Lodge
550,Lagunas,PE,80.04,broken clouds,-5.2269,-75.6753,Hospedaje Eco
552,Singaraja,ID,77.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
553,Weligama,LK,75.61,broken clouds,5.9667,80.4167,Weligama Bay Resort
554,Lufilufi,WS,89.38,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
558,Itarema,BR,81.07,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
559,Leogane,HT,82.6,broken clouds,18.5108,-72.6339,Family Health Ministries Guest House
562,San Rafael,AR,85.89,scattered clouds,-34.6177,-68.3301,Hotel San Rafael
566,Gonaives,HT,76.57,broken clouds,19.45,-72.6833,Vertières Doux Séjour
571,Doha,QA,78.69,clear sky,25.2867,51.5333,Movenpick Hotel Doha
578,Brownwood,US,76.55,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
580,Alyangula,AU,85.82,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
582,Autazes,BR,76.01,light rain,-3.5797,-59.1306,Apart hotel Tupinambá
585,Bonthe,SL,79.93,light rain,7.5264,-12.505,Bonthe Holiday Village
590,Charters Towers,AU,80.44,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
592,Aden,YE,80.28,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
602,Barao De Melgaco,BR,82.92,light rain,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
604,Mahina,PF,85.77,few clouds,-17.5065,-149.489,Guest Beach Bungalow Tahiti
605,Cockburn Town,TC,81.23,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
606,Kota Belud,MY,80.46,broken clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
608,Takoradi,GH,80.26,clear sky,4.8845,-1.7554,Raybow International Hotel
609,Hambantota,LK,76.01,overcast clouds,6.1241,81.1185,Bungalow 63
613,Kokoda,PG,84.6,overcast clouds,-8.8785,147.7407,Daito Guest House
614,Alice Town,BS,77.72,light rain,25.7167,-79.3,Bimini Big Game Club Resort & Marina
621,Bontang,ID,76.05,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
623,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
624,Santa Cruz,BO,79.99,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
626,Kalmunai,LK,76.87,scattered clouds,7.4167,81.8167,VS Villa
627,Karia,NG,76.12,clear sky,11.7306,11.1629,Kasakchiya Luxury Suites
632,Tomatlan,MX,87.8,clear sky,19.9333,-105.25,El Salvial
633,The Valley,AI,79.11,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
635,Kapit,MY,75.18,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
638,Pucallpa,PE,77.04,broken clouds,-8.3791,-74.5539,Hospedaje Komby
639,Chatrapur,IN,76.44,broken clouds,19.35,84.9833,Circuit House
640,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
645,Celestun,MX,77.38,overcast clouds,20.8667,-90.4,Posada Lilia
649,Dubai,AE,75.13,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
654,Kudahuvadhoo,MV,81.09,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
655,Paragominas,BR,76.19,broken clouds,-2.9667,-47.4833,INOVA
656,Ternate,ID,82.13,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
659,Lucea,JM,82.26,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
660,Yenagoa,NG,76.53,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
661,Damnagar,IN,76.23,scattered clouds,21.7,71.5167,Lalji Dada ni haveli
663,Lazaro Cardenas,MX,82.13,clear sky,17.9583,-102.2,quinta antigua
665,Emerald,AU,83.98,overcast clouds,-23.5333,148.1667,The Irish Village
667,Bucerias,MX,84.18,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
668,Mackay,AU,82.04,scattered clouds,-21.15,149.2,International Lodge Motel
669,Labuan,MY,79.16,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
673,Amarante Do Maranhao,BR,79.25,heavy intensity rain,-5.5667,-46.7422,Hotéis Caçulinha
680,Pecos,US,82.06,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
684,Barra Patuca,HN,79.05,overcast clouds,15.8,-84.2833,
685,Kailua,US,85.98,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
686,Neiafu,TO,86.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
688,Daru,PG,81.68,broken clouds,-9.0763,143.2092,Daru Lodge
694,Port Moresby,PG,83.01,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
698,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
700,Lamesa,US,78.53,scattered clouds,32.7376,-101.951,Shiloh Inn Lamesa
